content,sentiment
sangat membantu,Positif
Update terus,Positif
"Aplikasi yang sangat bagus, mudah di operasionalkan, layanan lengkap tinggal pilih sesuai kebutuhan.",Positif
"Setelah update aplikasi malah lemot, tambah ribet, data yg dulu malah harus memperbarui lagi.... Muter2 ae Harusnya 1 no HP sudah cukup, sedangkan yg ditanggung tidak perlu diisi no. HP juga GK masalah, jadinya kayak dipersulit mau dapat layanan JKN mobile. Pulsa masih banyak, tapi GK dapat SMS untuk verifikasi... Yo mending verifikasi pakai WA juga bisa... Ada pilihannya. Terlanjur diisi pulsa juga GK bisa/dapat SMS untuk verifikasi",Negatif
Lupa password trus ke menu lupa password setelah itu nunggu Kode otp selama 300 detik setelah menunggu sekian lama kaga muncul muncul kode nya🤦parah bet,Netral
Tolong dong jangan di persulit.. masalah aplikasi,Negatif
Tae angell,Negatif
Tolong dong jangan terlalu sering minta di update. Nanggung yang punya hp memori nya kecil . Jadi gak bisa di update karena memori nya nggak cukup .,Negatif
tidak bisa daftar,Negatif
"Apk sampah banyak bug, verifikasi wajah gagal terus verifikasi sms ngunain pulsa dah gitu verifikasi akun nomornya gk sesuai saat kita daftar dan mau perubahan data juga pakai pulsa, apk begal pulsa kh?",Negatif
"gk bisa daftar peserta baru. trus gimana, buat apa ni apk klo cuma bisa dftar akun aj",Negatif
Tolong di percepat,Netral
Aplikasi publik seharusnya bisa di gunakan di semua versi android. Kasihan untuk para pengguna android lama.,Negatif
Semakin kesini semakin menyusahkan,Negatif
Oke,Positif
Mudah di gunakan,Positif
Agak mebingungkn,Negatif
Tingkatkan!!!,Positif
Sangat membantu dan mudah untuk kita berobat ke rumah sakit dan klinik,Positif
"Aplikasi cacat, daftar pakai no HP saya. Disuruh verifikasi ke no lain tidak dikenal.",Negatif
"Yang benerlah developing softwarenya, udah bagus kualitas foto dan kondisi masih ga di recognize waktu daftar. OTP ga optimal ada WA etc software supported masih pake sms, kurang optimal dan costnya lebih malahan. Ini bikin software niat kaga sih, atau cuman formalitas.",Negatif
membantu dan mempermudah,Positif
Sanhat membantu,Positif
Baik,Positif
Aplikasi ini sangat mebantu,Positif
"Sangat membantu, sukses terus BPJS",Positif
Mantap,Positif
Bagus,Positif
Mantap mudah dalam penggunaan,Positif
min mohon dijawab saat ambil antrian kluar tulisa rujukan nomor.......sudah terbit SEP trus disuruh tekan tombol kembali itu kenapa ya min?,Negatif
Makasih jkn mobile,Positif
Lebih mempermudah,Positif
Sangat membantu,Positif
"mustahil regist disini! apalagi yang scan face. sudah kedip, senyum, tengok kanan kiri ga bisaa. aplikasi ini masih CACAT!! Mohon perbaiki dengan anggaran yang diberikan ya thell gathell",Negatif
susah saat verifikasi pendaftaran wajah,Negatif
"Gimana ini saya mau verifikasi wajah kok nggak bisa terus sih, malahan disuruh update terus lagi",Negatif
Aaah..ini mempermudah menemukan klinik rujukan terdekat . & info² lain terkait BPJS. Makasih,Positif
Ok,Positif
Bagus,Positif
👍,Positif
Sangat bagus dan memudahkan dalam hal kesehatan,Positif
kecewa bangett padahal orang lagi butuh juga untuk orang yang sedang sakit sedang membutuhkan malah bisa bisa nyaa susah untuk memverifikasi kan wajah padahal sudah di coba beberapa kali saja haduh🥲🥲,Negatif
"Tolong hapus pembatasan maksimal 3 NIK yg bisa pakai 1 hp,mau nolong orang buat dftar online ke rs rujukan jadinya gabisa,mana taunya setelah saya log out akun,jdinya gabisa masuk ke akun saya😭",Negatif
Susah amat cuma mau daftar,Negatif
Sangat terbantu dengan aplikasi ini,Positif
Carang gimana ya,Negatif
sangat membantu,Positif
Sangat membantu,Positif
Aplikasi ngak jelas,Negatif
Aplikasi tdk bermutu,Negatif
Banyak eror nya aplikasi nya. Di buka susah padahal jaringan bagus.,Negatif
aplikasi BABIK,Negatif
kenapa aplikasi sulit dibuka,Negatif
aplikasi diperbarui kok malah burik...mau masuk ke akun susah dan tidak bisa2...ini gimana konsepnya...,Negatif
Bukan nya nambah solusi malah nambah masalah. Kalo aplikasi belum siap pakai ya jangan di rilis lah. Cacat banget,Negatif
Ga jelas,Negatif
"Aplikasi sampah, bukannya membantu malah mempersulit Kalau ga niat bikin aplikasi gausah ada aja sekalian, verifikasi nomor hp malah masuk ke nomor hp orang lain, mana gabisa diganti nomor hpnya Yg bikin ga becus, tolol, goblog, sampah, gausah ada aja sekalian ini aplikasi kalo ga membantu 👎🏻🤬👎🏻 KALAU GA NIAT JAWAB HAPUS AJA SEKALIAN, JAWABAN KOK TEMPLATE SEMUA CUIH",Negatif
Ok,Positif
sangat membantu,Positif
Ini kenpa gak bisa verifikasi wajah gagal terus kalo mau buat aplikasi untuk daftar kis yang bener dong,Negatif
"Ribet dikit"" verivikasi apknya pdahal mau di pke giliran ga dipake ga ush di verivikasi jdi susah buat berobatnya eror",Negatif
"Ga jelasss apknya benerin lah, verifikasi wajah tuh benerin sama metode email",Negatif
Aplikasi JKN ini verifikasi wajah susah sekali Tolong diperbaiki dipermudah jangan dibikin sulit,Negatif
"Apk pekok gak jelas ngebug mulu, mempersulit hidup ini mah pepek",Negatif
Ini suruh verif tapi menu verif nya gada,Negatif
"Apa coba, saya mendaftar dengan nomor 0877,eh malah verifikasi ngasih nomor 0823. Pakai foto selfie ga bisa karena eror terus.",Negatif
Bagus,Positif
Sangat membatu kami sebagai masyarakat,Positif
Alhamdulillah rubah faskes pelayanannya baik. Dan ramah bgt makasih kk 🙏,Positif
"Verivikasi nomer handphone susah sekali,nunggu kode verivikasi ngga muncul2 lewat sms,mau masuk akun lupa password saja jika mau ganti susah sekalii,tolong diperbaiki pelayanannya",Negatif
Di-update gagal terus dr pagi sampai malam instal susah,Negatif
"Tolong perbaiki lagi apknya, kenapa sulit sekali untuk dapat code otp di hp padahal nomer hp yang dimasukin udah benar tapi kenapa nggak masuk- masuk kodenya padahal udah diulang berkali-kali bikin kesel aja",Negatif
Sulit ketika mengambil foto wajah,Negatif
apalah verifikasi aja gabisa?ngabisin APBN doank,Negatif
aplikasi ga jelas kode otp ga kekirim kirim,Negatif
Baik sekali.,Positif
Berualang kali undet gk bisa,Negatif
Keren,Positif
pengen y sih aku nilai bagus tapi mo gimana pagi..untuk daftar y aja susah banget...apalagi kyc y...duhh..gagal Mulu..ber ulang2 dan lama nunggu kode otp..tp gk muncul2..Ampe ber ulang...,Negatif
Sangat membantu,Positif
"Verifikasi menyulitkan rakyat, padahal aplikasi dari negara",Negatif
semoga semakin bagus kedepannya,Positif
Mudah,Positif
Proses verifikasi yang selalu gagal padahal tidak melakukan kesalahan yang ada di instruksi.,Netral
Apk GK guna Mau daftar malah gabisa verif wajah gagal teruss,Negatif
"Gagal install mulu. Kosongkan ruangan kosongkan ruangan. Ruangan email, ruangan hp, harus ruangan apa lagi?",Negatif
Baguss bangett,Positif
"Makasih,cukup membantu Sukses trus buat bpjs kesehatan",Positif
"Cukup di permudah, jika verifikasi wajar sulit bisa pilih lewati saja",Netral
So far so good,Positif
Suaah banget dapat kode otp sms sama poto gagal terus..,Negatif
Bagus,Positif
"Update: Udah bisa login, semoga kedepannya lancar. Terima kasih. Sebelumnya: Mau login gak bisa, alasannya belum daftar. Udah coba reset password, gak bisa login juga.",Netral
Susah sekali mau daftar 😢 kode otp gak dikirim2 gimana ini,Negatif
Ok,Positif
Payah verevikasi kasinya,Negatif
Bpjs 2025 ribet.kontrol harus sesuai tanggal.. Mohon di kembalikan ke aturan lama... Antrian di RS membludak..dg aturan baru..,Negatif
"Kocakk gak bisa verifikasi, udah ke luar-luar nyari tempat terang masih juga gabisa. Developernya ini tolong rajin-rajin pemeliharaan, kalo gini terus yang ada cuma nyusahin pengguna. Lagipula biaya pemeliharaannya dari pemerintah kan bukan duit pribadi?",Negatif
"Sebelumnya sudah terdaftar dan login di device baru, tapi di arahkan ke pendaftaran autodebit, di cancel malah balik ke menu login, di lanjutkan ke registrasi autodebit malah tidak bisa / gangguan. Jadi maunya apa? Wkwkwk",Negatif
"APLIKASI TAIK!! VERIFIKASI WAJAH BERULANG² KALI GAK PERNAH BERHASIL, UDAH SENYUM & BERKEDIP TETEP AJA GAGAL, TAIIIIIIK!! 👎👎👎👎👎",Negatif
Aplikasi verifikasi paling susah login 😭,Negatif
Registrasinya sulit,Negatif
Aplikasi sangat membantu,Positif
"Sementara ini saya berikan bintang 2 dulu, karena ada beberapa yg perlu diperbaiki dari aplikasi ini. Fitur pilihan verifikasi nomor hp tidak muncul, sehingga tidak bisa melanjutkan pendaftaran ke RS rujukan. Tolong segera diperbaiki. Jika memang seluruh pelayanan BPJS diwajibkan menggunakan aplikasi, tolong aplikasinya dimutakhirkan dulu. Jangan langsung di launching, karena membuat para pengguna menjadi kebingungan. Terima kasih. Semoga kedepannya BPJS bisa lebih baik lagi.",Positif
"Ini aplikasi makin menyusahkan. Untuk verifikasi diri ja sangat susah nya minta ampun. Palingan kalau komplen gini balasan nya cuma mohon maaf, minta di lampirkan bla bla bla bla. SISTEM ELIT, MENDAFTAR SULIT",Negatif
Ada nya aplikasi ini jadi gampang mau ke rumah sakit apalagi kalo mau kontrol kembali🙏❤️❤️,Positif
Apk gajelas udah susah susah verifikasi ini malah suruh verifikasi ulang,Negatif
Cepet,Positif
"Aplikasi kurang Mateng, terhalang gagal terus di verifikasi wajah padahal sudahenggunakan device yg memadai, tolong diperbaiki, sudah ke kantor cabang, malah diarahkan kearah ganti nomor",Negatif
Ok cuman verifikasi wajah gagal terus,Negatif
Respon cepat,Positif
"Setiap nyoba masuk selalu gagal. App ngebug, apa lg maintenance???",Negatif
Ok,Positif
kesulitan dalam verifikasi,Negatif
Oke good,Positif
Cukup membantu..,Positif
Good,Positif
Bukanya kok sekarang susah kenapa ya?,Negatif
"mau login aja ga bisa, minta code verifikasi gak di kirim terus gmna coba",Negatif
Sangat membantu untuk ubah data dan faskes,Positif
Membantu sekali bpjs,Positif
sangat membantu,Positif
"Registrasi sangat susah, kode otp tidak dikirim",Negatif
Mantap BPJS Kesehatan sekarang lebih oke,Positif
Bagus dan sangat membantu,Positif
"Saya ingin mendaftar, tapi tidak bisa dikarenakan capthca tidak bisa di masuk kan, padahal saya sudah benar memasuk kan kode nya, tetapi salah teruss Tolong diperbaiki secepat nya ya admin, nanti saya rubah penilaian saya terhadap apk ini🙏🏻",Negatif
Ribet & susah,Negatif
Poto g bisa verifikasi tolol,Negatif
Oke..,Positif
Pelayanan oke,Positif
Pelayanan Tidak Profesional,Negatif
Sangat mudah diakses,Positif
Pelayanan baik ramah gercep,Positif
Góod job,Positif
Terimakasih berjalan lancar,Positif
Aplikasinya bagus nyaman di pakai aku pemula jadi GK begitu paham untuk selengkapnya,Positif
App tolooll registrasi ribet user experient buruk,Negatif
cepat dan mudah,Positif
"Aplikasi ruwet, surat rujukan masih berlaku tapi gak bisa ambil antrean, bukannya meringankan malah membagongkan,",Negatif
Nunggu kode otp gak muncul² app membuat susah masyarakat ni KLO kayak begini. Sumpah kecewa betul dgn applikasihnya,Negatif
Gabisa OTP SMS minn,Negatif
"Sangat2 membantu tidak perlu kekantor BPJS ,terimakasih",Positif
Tidak bisa login. Lupa password otp gamasuk masuk,Netral
Keren,Positif
oke,Positif
Mau daftar online vetifikasi error terus,Negatif
"Proses verifikasi wajah terlalu ribet, Udah 5 kali coba gagal terus",Negatif
"himbauan untuk jangan instalasi aplikasi ini, ngga jelas, bikin emosi",Negatif
"Agak ribet aplikasinya, kenapa harus verifikasi wajah sedangkan apk jak sehat aja tidak ada, udah gitu sistem captcha nya aja ke potong",Negatif
Aplikasi tidak mmbantu apapun,Negatif
Buruk banget aplikasi banyak banget kendala dari otp sampai verifikasi wajah,Negatif
Sangat membantu dan memudahkan,Positif
"Aplikasi tolol, banyak banget bug nya astaga",Negatif
"Aplikasi sampah tolol kode ga masuk"", verif wajah gagal muluh,idiot",Negatif
Tolong din perbaiki sistem jya biar gampang merubah Apabila mau pindah pkm atau klinik,Netral
Disini susah jaringan,Negatif
Mantap good job,Positif
"Nyusahinnnnnn , apaan siii mau berobat pakai bpjs , harus pake aplikasi ini !!! Nunggu kode otp aja lamaaa bgt !!! Akhirnya engga jadi berobat!!!!! Woy gimana iniiii masa nenek"" yang engga punya hp cuman karna engga punya hp , dan engga punya aplikasi ini , engga bisa berobat !!! Tolong dong , prosedur nya atau cara pelayanannya dibuat sebaik mungkin !!!!",Negatif
Tidak bisa verifikasi wajah capek ulang terus 👎,Negatif
"Applikasi sampah, verifikasi selalu gagal, hanya mempersulit pasien. Bahkan yang memberi 5 star pun tidak puas dengan apps ini.",Negatif
Cepet bangat,Positif
Sangat membantu dan mudah digunakan 👍,Positif
Terimakasih,Positif
Good,Positif
Sangat membantu,Positif
Pelayanan memuaskan,Positif
Aplikasi bugar kok gak bisa ya,Negatif
"Haduuuh ndaftarnya mengesalkan. Diminta deteksi wajah dengan ekspresi yg diminta sampai berulang² dan gagal lagi². Serasa seperti orang gila yg dipermainkan anak² kecil. Gimana ini min, gunanya apa ni apk ini dihp aku.",Negatif
sangat membantu,Positif
Mantappp,Positif
"Dari bpjs sekarang di suruh pakek aplikasi ini. Mobile jkn ini aplikasi yg SANGAT SANGAT MENYUSAHKAN DAN TIDAK JELAS KALAU MEMANG BELUM BISA MEMBUAT APLIKASI YG MEMUDAHKAN RAKYAT YA GAK USAH MAKSA BIKIN APLIKASI BNGST. BUKANYA MEMPERMUDAH MALAH TAMBAH BIKIN SULIT BEROBAT HARUS PAKEK MOBILE JKN BANNGSAT INI, BANYAK ORANG TUA TUA YANG TERHALANG BEROBAT,GAK JADI BEROBAT KARNA HARUS ADA APLIKASI JKN INI, KALIAN PIKIR SEMUA ORANG ORANG TUA BISA MAIN GADGET.",Negatif
"Aplikasi sampah, verikasi wajah ratusan kali gagal, jangan cuman mohon maaf tapi dj benahi juga, gini mau maju gimana aplikasinya aja kayak sampah",Negatif
Membantu,Positif
"Kebanyakan update, belum ada 1bulm udah update terbaru lagi",Netral
Membantu,Positif
"Captcha yang anda masukkan salah terus, NIK anda tidak dapat ditemukan, Alamat yang anda masukkan tidak sesuai dengan Kartu Keluarga..lah gimana sih tolong gabisa terus mau pendaftaran peserta, apanya yg salah to jelas² semua udah betul",Negatif
Good,Positif
APLIKASI TERTOLOL YG PERNAH ADA VERIFIKASI WAJAH UDAH TERANG MASIH GABISA LAWAK BET TOLOL REAL APLIKASI TOLOL SETIAP APLIKASI YG PUNYA ORANG²INDO PASTI TOLOL GAGUNA APLIKASINYA,Negatif
oke baik,Netral
Si penggagas aplikasi mobile jkn berharap dpt pujian malah yg di dpt bullian🤣 sungguh apk terjelek & terparah dlm sejarah apk yg ada di dunia,Positif
"saya h-7 hari kontrol sudah daftar dan dapat antrian 1 ,tapi saya sampe dirs tiba""dibatalkan begitu saja ,apakah bpjs sekarang emang dipersulit yaaaa",Negatif
tim IT nya abal abal cok huahahaha. verifikasi muka gagal mulu. otp juga masih sms gak bisa WhatsApp. bayar berapa tu pemerintah. wkwkwkwk,Negatif
oke,Positif
"minta kode verifikasi sms . nunggunya udah kelamaan . masuk nya juga enggak , padahal nomor HP AKTIF .. ga ada kendala . sms yg lain masuk.. cuman Verifikasi sms jkn mobilentot ni doang yang enggak anjeng",Negatif
Terlalu banyak bug.mau daftar online biar gampang malah lebih susyahhhh,Negatif
aplks gjls,Netral
Terimakasih semoga berkah,Positif
apk ga guna bikin ribet penggunanya sendiri bintangg 1 kalau bisa bintang kosonggggg,Negatif
"Entah,, ngebug trs.. Masa iya NIK yg d tulis salah trs,, pdahal sesuai KK.. Kan jadi gak dapat no antrean buat imunisasi tho... Mengsedihkan...",Negatif
"Verifikasi wajahnya tolong di perbaiki,INI GIMANA SIH BAGIAN IT NYA,GK JELAS",Negatif
"Aplikasi ga berguna orang mau verifikasi pake wajah ga bisa bisa, pake nomer malah nomer saya di mobile jkn kelebihan satu jadi error di ganti pun ga bisa, pake email juga malah di arahin pake SMS, duh... Kalo aplikasi nya belom siap banget ga usah launching lah, kirain saya doang yang ngalamin ternyataa banyak yang ngalamin juga",Negatif
Sangat membantu terima kasih🙏,Positif
"Aplikasi ruwetttt verifikasi susah,apalagi berobat pasti ruwetttt",Negatif
Jos bingit,Positif
"minta otp aja gak muncul2, padahal nomor hp udah bener",Negatif
Bagus,Positif
"tolong diperbaiki untuk fitur mau daftar online saya sudah pernah daftar online bisa 1 kali tapi kenapa ketika saya mau daftar lagi dan ambil faskes lanjutan yang tertera selalu ""anda belum memiliki rujukan atau surat kontrol"" padahal saya sudah pernah daftar dan masa berlaku suratnya itu masih,ini mengganggu kenyamanan ketika akan daftar.",Negatif
Dari kemarin mau daftar padahal masih jam 7:39 pagi tau tau udah full aja besoknya di coba lagi udah full lagi ini aplikasi sebenarnya berfungsi gk sih gk jelas.,Negatif
Ini terasa membantu sekali..,Positif
mau login susah banget..nik udah bener .dicoba 10000x masih aja nik salah..,Negatif
Sangat membantu saya untuk sgl hal.,Positif
Mudah tampa rumit,Positif
"Menu faskes rujukan gk bisa diakses, entah hapa lah kerja pengurus server aplikasi jkn nih, bug terus aplikasi..... Kocak",Negatif
Mempercepat layanan,Positif
Mantap,Positif
di persulit ketika masuk sangat jelek,Negatif
Bagusssss,Positif
Nunggu verifikasi nomor telfon sudah 2hari tidak dikirim kirim kodenya. Gimana solusinya min??,Negatif
"KALAU ADA YANG SULIT KENAPA DI PERMUDAH.....otp g masuk2,vermuk segala..he TOLONG G semua melek tehnologi,orang yg di pelosok desa g kalian PIKIRKAN ta?? gmn susahnya daftar aplikasimu ini????mau berobat aja susahnya minta AMPUN,PASIEN KEBURU MATI BOSS KARENA APLIKASIMU MBULET kyk gini....",Negatif
Mntap....,Negatif
dahlah gabisa dipake,Negatif
Cepet,Positif
sangat membantu,Positif
Sangat Dipermudahkan,Positif
"Kenapa yah JKN terbaru ada pemberitahuan ""Aplikasi ini mengumpulkan informasi tentang aplikasi yang terpasang di perangkat Anda..."" Emang harus banget JKN tahu aplikasi apa aja yg terpasang di device penggunanya? Padahal dulu ga ada yg kayak gini.",Negatif
"Yah aplikasinya memang bertujuan untuk melayani masyarakat namun tetap dipersulit dimulai dari kode otp yang tidak masuk masuk padahal nomor benar, beginilah nasib masyarakat ke bawah yang menderita tidak mendapa layanan dengan baik mari semua kita renungkan saja hidup ini dunia ini hanya sementara semoga berbalik kemudian kepada mereka di akhirat kelak",Negatif
Ga guna banget aplikasi makin jelek tiba tiba keluar sendiri dan itu terus menerus. Tolong ditingkatkan lagi.,Negatif
ok,Positif
Saya baru daftar . Masuk suruh verivikasi ge. Lah nmer hp ny kox Laen drinyg sya dftarkan,Netral
Tolol apk tolol nomer hp siapa itu jig,Negatif
Suka sekali jadi lebih mudah mkci,Positif
Tolong di perbaiki bikin emosi susah bener verifikasi nya,Negatif
"Anjayyy screening wajah harus banget ke kantor BPJS nihh😴😴😴🙄 mending kalau gw yang sakit lahhh orang tua, kasihan capek bolak balik mana jauh lagi kantornya😃😃",Negatif
Mudah dipakai,Positif
bagus dan efektif,Positif
Praktis dan cepat,Positif
"Tolong diperbaiki fitur verif wajah. Bisa diganti saja dengan input gambar daripada real-time detection yang ""super-precision"" semangat tim dev! 🙏",Positif
"Baik,, BPJS hadir dan sangat membantu kami",Positif
Aplikasi yang bagus juga mudah digunakan terimakasih M-JKN sudah memberi kemudahan dan pelayanan dengan baik🥰,Positif
Aplikasinya eror apa gimana gk bisa login,Negatif
Tidak bisa Download apk disemua hp!,Negatif
"APLIKASI APAAN ! TUJUAN MEMPERMUDAH MALAH MAKIN MEMPERSULIT VERIVIKASI WAJAH SUSAH+OTP SMS SUKA GA MASUK PADAHAL ADA PULSA , ayo lah pikirin masalah nya gmn biar nyaman kepada masyarakat jangan katanya mau Indonesia emas tapi malah di persulit+susah tingkatkan lagi lah perfoma nya jangan ngopi mulu",Negatif
Pelayanan lebih nyaman,Positif
Lengkap,Positif
"Aplikasi ini semakin kesini semakin meribetkan terutama untuk masyarakat di pedesaan yang mana belum terlalu paham teknologi terutama orang tua di desa yang tidak bisa pakai hp android, sekarang dengan di tambahnya vermuk dan aplikasi hanya untuk maks 3 NIK utk login, saya rasa ga ada manfaat nya system seperti itu karena kami sebagai relawan jadi makin sulit untuk membantu masyarakat jika ada keperluan BPJS di Mobile JKN, harap di kaji lagi teknis nya, terimakasih",Negatif
Mantap Lebih mudah,Positif
Alhamdulilah 🤲,Positif
Sangat baik,Positif
Ga berguna,Negatif
Gagal terus mau daftar rujukan,Negatif
Membantu sekali,Positif
Sangat membantu,Positif
knp dr kemarin gak bisa donwlod,Negatif
daftar masuk saja sudah sudah terlalu ribet kelamaan,Negatif
Bagus mudah dan cepat,Positif
Proses verfikasi lama,Negatif
Sangat berguna semuanya sih,Positif
ga jelas apk aneh fitur ribet sering gangguan kayak ga di benerin jangan download gj ini apk,Negatif
Berkali-kali verifikasi wajah ga bisa bisa,Negatif
"pelayananx bagus, pegawaix ramah, loketx kurang banyak",Positif
"Paling males kalo udah tiba tiba logout aplikasi secara tiba-tiba tiap bulan, login lagi keterangannya salah NIK atau Password, padahal udah sesuai, di tambah kalo kirim kode OTP aja lamanya minta ampun",Negatif
Cepat mudah pengunaan fitur dan pelayanan BPJS,Positif
Verifikasi wajah gak pernah berhasil!,Negatif
Eror terus,Negatif
"Tidak setuju dengan akan diberlakukannya kesamarataan kelas perawatan. Sudah cukup biar begini saja untuk kelas bpjs, harusnya lebih memperbaiki yg lain seperti yg sedang dan semakin dibuat ribet bagi yg mau menggunakan perawatan dengan bpjs. Perbaiki apa yg menjadi kritikan masyarakat, kita juga bayar lhoo. Jangan semakin mempersulit rakyat",Negatif
BPJS.amazing,Positif
Masya Allah Alhamdulillah banget semuanya dibantu dan dimudahkan ...,Positif
Ok... sangat membantu...,Positif
Pengiriman OTP lama banget gada respon sama sekali,Negatif
Sangat mebantu,Positif
Ok,Positif
Mudah amanah dan aman,Positif
"kenapa Aplikasi Produk dari Pemerintah 80D0H semua Aplikasi A~Z.... kalah jauh sama Aplikasi Produk milik Swasta atau Produk Asing Tes Masuk ASN aja ribet, bikin Aplikasi gini aja Ribet Nyusain Rakyat, Duit Rakyat Habis buat Bayarin Orang 80D0H",Negatif
Sangat,Positif
Lebih mempercepat pelayanan,Positif
Sudah beberapa kali mau daftar via jkn tp gak bisa2 Krn no otp TDK dikirim2. Tolong diperbaiki lagi aplikasinya. Tidak menyusahkan orang yg lagi sakit. Sampe skrg saya gak bisa daftar.,Positif
"kenapa harus suruh daftar lagi..suruh login lagi,bulet seperti pejabat korup",Negatif
aplikasi tidak berjalan normal bug..harap benahi sistemasi lakukan perbaikan segera..,Netral
"Kenapa sih pemerintah kalo punya program yg berbau digital atau aplikasi suka ngelawak. Ini aplikasi apaan? Mau daftar, udah ngisi semua dan pas minta kode otp, dikasih waktu 300 detik alias 5 menit tp kode otp datang 15 menit kemudian, mau diisikan udah gak bisa 🤣 kan kocaak",Negatif
Aplikasi nya jelek tak berguna 😩,Negatif
Aplikasi ga jelas,Negatif
Saat verifikasi muka nya susah,Negatif
Aplikasi pemerintah tapi untuk verifikasi wajah masih lebih buruk ketimbang aplikasi pinjol,Negatif
"Aplikasi ga guna ,verifikasi sms ga muncul ,verifikasi muka kamera nya muter2 ga simetris",Negatif
"gaji pegawainya besar mutu pelayanan sampah, coba pegawai bpjs pakai bpjs biar tau hasil kerja mereka",Negatif
"Gagal mulu verifikasi wajah. Dan ternyata yang susah verifikasi wajah bukan ane doang, banyak reviewer lain juga sama. Kgk bener ini aplikasi",Negatif
FAKKKKKK ngerugiin gue bgt.. udh abis brp puluh ribu buat beli pulsa.. ribet banget.. bukannya membantu.. aku anak muda aja kesusahan apalagi orang tua diluar sana yang gaptek? gak habis pikir mempersulit banget ini mah jkn samsek gak membantu,Negatif
Pusing..... Ga bisa,Negatif
mau daftar tapi Verif wajahnya gagal terus dan otp ngga terkirim terus nyebelin jadi ngga bisa daftar ke RS,Negatif
Mantap,Positif
Saya sudah berkali-kali mengirimkan kode OTP melalui nomor telepon tapi tidak ada satupun SMS yang masuk. Diperbaiki lagi performa aplikasinya. Saya sudah berkali-kali mengalami hal seperti ini.,Negatif
Kenapa kok tiba2 logout sendiri ya kita harus masuk lagi,Negatif
Susah untuk daftar sangat menjengkelkan...,Negatif
Untuk verifikasi aja susah banget,Negatif
Aplikasi aneh di persulit semua,Negatif
Aplikasi sempak,Negatif
Kenapa ya akun jkn tiba2 keluar sendiri padahal baru tadi pagi di pake berobat eh malem nya gak bisa di buka harus daftar lagi...mohon penjelasan nya Terimakasih,Negatif
mantap aplikasinya 👍👍👍,Positif
Bagus,Positif
selama ada aplikasi JKN kami sangat terbantu dan lebih mudah,Positif
Untuk verifikasi foto wajah susah. Harapannya fasilitas kesehatan juga lebih cepat,Negatif
Good apps,Positif
"Aplikasinya jelek banget, ga bisa login. Gimana orang bisa menggunakan BPJS kalau login ke aplikasinya saja tidak bisa. 👎👎👎",Negatif
"Baru mau masuk aplikasi, disuruh autodebet. Dicoba autodebet malah gak bisa. Aplikasi nya payah",Negatif
Oke,Positif
"Aplikasi menyusahkan Masyarakat, buat verifikasi wajah dan kode OTP nomer hp saja susahnya minta ampun. Padahal di bawah Kemenkes yg anggarannya Ratusan Triliun tapi buat aplikasi kok bosok kaya gini.",Negatif
Tolong cepat diperbaiki cara pendataran setiap masuk selalu ada notif no sudah terdaftar,Negatif
Selalu siap saat dibutuhkan,Positif
"Kritik: frekuensi verifikasi pin yang terlalu sering, sangat mengganggu pengguna. Saat verifikasi pin, user baru menginput satu digit, keyboard otomatis menutup, itu sangat mengganggu, terkadang malah tidak sengaja menekan lanjut, sehingga dianggap kesalahan pin. Terlalu sering meminta rating juga, pop up sangat mengganggu.",Negatif
"Kenapa aplikasi jkn, ko jelek banget sering keluar sendiri ,diaktifkan lagi malah bikin setres",Negatif
Sayang membatu,Positif
Pelayanan memuaskan,Positif
makin ruwet,Negatif
Sangat mudah pake aplikasi ini,Positif
Sekarang tambah canggih,Positif
Aplikasi tolil mau verif wajah aja susah ..padahal kamera bagus dan jelas,Positif
Aplikasi gatel,Negatif
Sangat membantu,Positif
Terima kasih,Positif
Kenapa gagal terus setelah isi nik,Negatif
Verifikasi yg tak kunjung selesai... Bukan mempermudah malah membuat pusing..!!,Negatif
Orang sakit mau berobat jangan dipersulit lah... Udh daftar isi data² tapi verifikasi wajah gagal Mulu asu...mana gada tombol kameranya otomatis nya ribet sumpah jadi ga bisa berobat pake BPJS ini malah jadi bayar berobat ditempat lain .. asu...,Negatif
"Pantesan pada komplen ,,,tapi emang bener siih sudah saya coba juga ..",Positif
Bagus,Positif
"Verifikasi wajah susah nya minta ampun, klo buat aplikasi jgn stengah2. Tolong perbaiki",Negatif
"Aplikasi nya mungkin belum bisa di gunakan, susah mau daftar",Negatif
"Sangat memudahkan,buat sy yg ga bs dtg ke kantor. Ngerubah fasker,dan ganti nomer hp bs lwt jkn mobile👍🙏",Positif
Semakin kesini semakin bikin jengkel ya...tiap buka suruh login ulang terus dong...😴,Negatif
Mohon memberikan pilihan untuk whatsaap agar jika tidak ada pulsa tetap bisa mendaftar🙏,Netral
"Gajelas. Mau ambil antrean harus verifikasi dulu, verifikasi nya harus capture wajah, eh gagal mulu👎🏻 Gimana orang bisa ambil antrean kalo pas verifikasi gagal mulu, yang ada malah bikin emosi👎🏻 coba diperbaiki lagi deh, nyusahin orang aja kalo kayak gini caranya👎🏻",Negatif
Sangat mudah diakses,Positif
Tiba2 keluar sendiri dan tidak terdaftar,Negatif
Ga bisa daftar apk macam apa ini D lihat dr ulasan nya aja apk ini sangat bobrok nyesel udh download Mana setiap ulasan pada ga d bales,Negatif
"Bersyukur punya ku login e mudahh, sejauh ini oke si",Positif
